14.22783	621.55505
14.66104	580.14600
13.47003	654.26575
12.75560	748.69629
14.58680	756.72815
14.81905	666.31427
13.29224	591.01013
12.75600	684.66138
13.20178	689.91974
13.27894	644.80884
12.55106	678.16785
13.90894	704.96515
14.00146	671.93579
13.95579	759.14642
15.31303	601.74457
13.56507	642.69330
13.13692	720.08380
14.92697	694.31592
13.70025	713.71368
13.77699	754.50391
13.83127	632.32300
13.40282	748.40930
14.32815	739.40564
14.18063	714.32751
12.90989	795.58173
13.81618	617.74884
13.73472	633.68494
14.17395	628.88055
13.80006	690.22400
13.42319	642.14856
15.38252	710.24359
14.45702	650.16858
12.42304	749.43884
16.26614	673.06757
14.36124	557.26312
13.87811	675.40265
13.50675	745.07666
14.80060	585.50696
14.78719	672.97260
12.79980	660.48035
12.78280	670.44287
13.87695	588.05066
15.70484	628.26337
12.43606	669.38776
13.51857	596.83972
12.97812	765.28125
11.66498	674.52966
14.67779	595.72363
13.70329	698.20490
15.68350	695.58765
12.87307	779.86304
14.41690	607.47229
13.20127	713.68787
14.92039	741.46631
14.73304	684.52441
12.94302	696.03253
13.10827	781.12677
12.48727	667.91663
12.52991	615.09106
13.54750	706.49731
13.79900	693.93188
16.08158	720.49036
13.59254	622.30811
13.83980	689.67249
13.03371	696.53754
14.48702	731.45172
15.52225	648.20074
12.67030	630.94568
15.39969	643.41986
14.14079	664.19495
14.73865	615.08551
14.38662	630.15033
14.24779	792.62225
13.52583	666.15405
13.03594	672.88940
13.17482	749.12561
12.97094	663.36133
12.55952	646.68622
14.96923	695.06427
12.91791	656.45142
13.96352	766.42310
12.29276	671.03845
14.72932	598.98785
13.25933	614.41913
14.25092	689.63507
12.52763	740.99097
14.45826	674.13715
13.68034	644.87555
15.19355	727.54602
13.44216	651.38995
14.19358	678.66809
12.75441	735.54620
14.56046	746.61688
12.43653	660.73163
15.64799	663.75330
13.91027	691.24664
14.77906	763.89423
14.47164	726.24176
16.11740	710.63788
14.06053	744.20734
13.50581	689.83362
13.08954	658.21844
11.79079	724.00000
13.55735	673.08630
13.69844	666.99243
14.51221	707.02875
12.80035	668.31281
13.54492	764.00446
13.63177	691.10870
14.81998	682.80591
13.16449	730.20044
13.13599	710.36945
13.36168	638.02393
13.83397	757.42914
13.36652	632.69733
16.38783	660.35126
12.69657	628.77295
12.48912	642.13763
14.90438	580.78937
16.34690	629.78931
12.86943	788.62238
14.42547	669.38782
16.09288	655.89221
13.46070	729.03088
13.13998	767.33710
13.55915	706.29016
14.05509	693.43451
13.43185	664.64325
14.51752	635.21600
15.77975	719.60742
15.49338	627.09528
16.46200	680.68536
11.00372	723.38245
13.62479	662.64880
13.95804	698.57092
12.92502	721.36554
14.20572	654.91345
12.57545	693.22290
13.70957	627.87958
12.77710	605.26013
14.23943	673.91211
12.88144	700.17157
13.37306	652.73248
13.95216	661.48907
13.83153	736.27832
13.47948	715.24731
12.53516	631.26099
15.25676	678.15686
14.91901	603.87836
12.57668	703.47919
13.22479	677.84680
13.47038	645.29370
13.78712	635.37750
13.62149	737.76636
13.12439	696.93640
13.44000	700.35156
14.45972	655.30994
13.67150	711.39557
14.63558	678.12244
13.69670	723.60339
12.51966	723.33124
14.61969	644.34985
14.31079	840.02032
11.47158	651.38123
13.60393	571.33331
15.13832	709.11646
12.90092	605.61316
14.27767	733.52203
11.90814	647.38654
12.86047	723.87305
12.57376	650.85950
13.04722	725.89008
16.40836	556.78687
13.95879	708.86798
13.93405	679.28137
13.31438	664.98798
13.16570	670.91779
14.95291	692.44446
13.01567	625.91119
13.18701	683.30396
14.57713	614.47028
13.73601	693.93036
13.52865	768.17847
14.01412	701.11963
13.41945	790.76788
14.20746	627.23029
13.89674	712.92682
13.39585	658.56848
13.28003	666.01422
14.07570	649.79126
13.40150	638.86719
15.55271	788.78461
14.00592	671.26575
13.79282	700.52551
13.03190	598.24652
13.48772	680.76141
13.61936	749.23846
14.66032	635.21423
14.16478	699.45685
14.88771	643.19830
15.37019	610.04364
14.81652	707.97009
12.97936	655.18567
15.68959	626.70624
12.45334	647.90576
12.17349	744.23926
13.70718	690.96637
13.70270	696.59381
13.00758	635.18616
14.00516	648.01318
14.95473	737.64581
15.53210	729.05212
13.84560	640.91846
15.21670	620.09399
14.02684	614.00330
12.53347	691.37378
14.74042	754.32141
14.32727	611.36780
13.90370	660.42065
12.77609	746.28949
16.08725	672.35773
14.39051	700.10370
15.04637	695.38330
15.02982	720.35339
14.81222	713.04614
14.28345	588.25043
12.91487	777.31525
14.96515	756.21704
13.38737	616.71991
14.21389	602.95001
13.38318	713.29303
15.73864	671.36328
12.80245	649.83606
13.98637	608.23981
14.61216	682.68756
14.27174	680.26978
14.10094	644.40320
15.24683	674.24207
13.79999	679.36743
14.82737	705.58740
16.11451	765.18054
13.13091	670.72351
14.38207	681.24438
13.30623	716.71088
14.69512	707.10962
13.12330	633.87372
14.08245	638.93976
12.09206	725.70520
13.65771	764.44440
14.92089	700.43610
13.95686	809.46130
14.03627	648.42163
13.87097	760.61810
12.35382	648.71008
15.82997	660.38171
14.62703	680.56775
15.04729	724.09772
11.84979	629.96674
14.37927	782.97815
14.40617	690.00745
13.45226	639.80029
14.15119	646.90063
16.92077	673.99512
13.78398	730.56866
12.80264	750.67963
13.10296	736.28705
14.40824	685.41614
12.66074	754.98688
13.73637	716.66260
15.10246	622.11938
11.12639	677.45599
13.87907	733.99762
15.49890	799.00549
13.88975	703.07843
14.37238	691.93829
14.00601	663.27795
11.91201	724.55170
14.59718	605.67133
13.23467	665.79376
15.07393	624.58234
13.55302	757.33154
15.37319	687.66241
16.30701	589.52997
14.24874	680.80255
14.17454	717.85339
13.62593	652.21362
14.03246	583.28394
12.92161	615.62109
15.23647	660.11682
14.51373	776.52563
15.90939	789.13696
13.75602	806.43903
14.47257	714.21936
15.20041	666.02008
13.03738	615.58057
13.62954	680.99908
15.44088	689.21423
13.62213	669.20294
13.58821	599.48651
13.83819	711.49603
14.22751	679.18109
14.54602	839.43201
13.87118	685.40564
13.20490	692.97144
12.65195	691.80219
13.86307	658.68896
15.63851	697.13379
12.34692	741.35187
13.82146	734.55304
12.85988	767.79175
12.35828	655.37378
13.28602	579.78845
12.75550	697.80933
13.67729	711.28326
14.12773	706.67126
13.19663	768.20618
13.41733	676.22449
13.57184	654.21478
12.88506	608.40082
13.42676	726.37799
15.30874	632.85449
12.74805	695.34039
13.81834	634.01935
13.64196	744.25427
13.55365	601.80341
13.34679	582.26953
13.37850	601.25049
15.01644	693.76575
14.08410	618.72095
14.44143	675.93396
13.71922	705.00079
13.50612	683.55463
13.58984	696.57556
14.46099	785.09271
13.90808	741.87189
13.92261	643.76709
14.70039	688.93878
13.05796	625.28156
15.21788	666.13275
12.81355	670.38800
15.14236	634.69666
13.21743	672.45801
14.15128	646.47577
13.63500	702.68237
13.02611	661.54022
14.68329	710.73816
15.32955	730.03656
14.01315	695.21014
13.05379	578.02747
14.95158	573.93677
13.94486	687.86871
12.64204	725.04645
13.18205	690.21283
14.03755	654.15442
14.34320	638.02142
12.00663	688.22186
15.34319	771.63928
14.27806	730.20941
14.07759	683.77747
14.37956	744.40759
14.97339	651.09796
12.36717	653.46399
15.16851	646.17474
13.58705	687.47400
13.50169	823.75000
14.11483	688.01105
13.51586	738.15338
13.44578	733.40247
12.35909	703.69196
13.94384	698.22144
13.53469	738.89661
14.02165	750.55859
15.30322	634.46204
13.68456	673.46185
15.15368	721.80438
13.16593	626.00854
11.60873	758.64136
13.61250	572.96588
12.96331	670.37500
14.60816	714.05182
14.74778	667.32800
15.15399	607.13831
15.30986	667.66559
14.00285	715.66113
12.71832	741.46606
13.87910	765.44647
13.30822	655.79712
13.21517	691.24188
12.74301	672.09686
13.73548	674.88934
14.49479	589.27045
14.03953	683.84680
13.35376	697.46912
14.42996	683.43317
14.84615	785.10016
14.52652	661.63251
12.68101	603.31348
14.41761	646.34827
15.02518	696.94617
14.41013	638.12927
13.71510	662.32288
13.21520	790.15149
15.08489	637.24158
13.61844	710.02930
14.26192	655.18018
14.65079	661.22888
12.74784	700.57672
12.98010	671.21320
16.23328	698.23993
14.53703	711.25281
14.45466	893.62842
12.78307	677.22083
15.57818	654.31378
15.66244	659.73236
14.05754	647.62207
12.11266	654.82373
13.19283	632.28558
12.46726	651.77051
13.30543	735.14221
13.76150	712.36029
13.09499	698.87201
13.85481	559.45374
14.82579	727.48926
13.63536	698.83801
13.81495	758.17102
